Species1,Species2,Species3,Time
669,383,687,384
681,355,693,385
656,398,696,386
628,366,713,387
704,343,722,388
677,385,697,389
733,355,694,390
655,387,704,391
641,396,718,392
635,425,701,393
688,394,674,394
699,411,705,395
687,439,634,396
701,415,628,397
688,397,664,398
674,423,699,399
677,434,663,400
678,426,646,401
658,431,667,402
662,413,664,403
667,435,661,404
688,457,609,405
611,459,681,406
641,442,658,407
653,464,653,408
656,440,658,409
629,460,653,410
660,476,646,411
630,493,665,412
628,505,679,413
613,505,640,414
668,514,622,415
701,511,573,416
611,571,603,417
650,514,620,418
598,559,633,419
642,544,650,420
633,563,595,421
641,556,601,422
634,559,621,423
647,571,585,424
635,590,576,425
628,570,583,426
646,614,567,427
634,643,547,428
592,621,561,429
630,643,545,430
649,627,554,431
611,649,542,432
620,625,540,433
656,646,533,434
671,643,518,435
629,636,537,436
626,664,528,437
653,654,499,438
641,687,474,439
630,676,498,440
658,618,519,441
578,677,522,442
625,689,478,443
605,696,510,444
613,720,486,445
627,722,480,446
637,716,435,447
659,673,466,448
671,704,440,449
589,692,495,450
652,707,433,451
637,733,455,452
633,710,462,453
663,723,433,454
630,742,442,455
668,710,421,456
650,746,394,457
614,779,407,458
633,760,424,459
581,764,424,460
605,761,414,461
628,774,469,462
637,828,388,463
633,773,433,464
659,761,402,465
668,804,374,466
624,827,367,467
618,801,438,468
593,826,410,469
582,799,422,470
607,816,420,471
595,823,414,472
615,806,411,473
632,807,409,474
597,844,379,475
589,869,354,476
584,857,364,477
599,883,331,478
597,872,345,479
569,909,380,480
579,906,352,481
605,886,359,482
565,894,340,483
592,897,328,484
589,909,374,485
570,887,341,486
560,961,310,487
570,907,368,488
557,957,339,489
577,912,343,490
601,946,311,491
590,925,335,492
569,941,291,493
555,981,319,494
574,980,301,495
538,986,308,496
564,970,311,497
568,985,276,498
563,987,285,499
564,970,307,500
534,994,301,501
543,969,309,502
537,1017,289,503
484,1065,299,504
512,1027,283,505
553,1024,281,506
499,1058,285,507
528,989,284,508
533,1087,249,509
497,1100,259,510
530,1047,250,511
518,1079,249,512
496,1123,232,513
487,1103,240,514
515,1097,239,515
477,1117,239,516
499,1107,251,517
498,1120,239,518
503,1136,205,519
498,1111,240,520
471,1134,221,521
496,1115,232,522
468,1165,214,523
451,1152,211,524
474,1131,220,525
446,1189,202,526
469,1180,203,527
430,1208,207,528
454,1178,220,529
457,1162,226,530
461,1168,187,531
465,1188,180,532
409,1211,180,533
407,1275,154,534
457,1251,182,535
425,1259,171,536
434,1216,169,537
413,1212,182,538
424,1227,154,539
422,1259,146,540
381,1220,175,541
413,1234,161,542
412,1227,181,543
399,1301,161,544
395,1285,159,545
413,1272,175,546
394,1261,187,547
414,1277,153,548
407,1288,153,549
378,1310,164,550
411,1265,132,551
370,1298,163,552
414,1245,145,553
382,1292,154,554
398,1285,173,555
362,1282,174,556
394,1326,139,557
383,1280,142,558
362,1338,146,559
377,1340,158,560
372,1345,139,561
365,1329,138,562
349,1385,134,563
349,1371,119,564
393,1306,143,565
368,1379,135,566
338,1384,118,567
383,1326,130,568
315,1439,123,569
354,1394,119,570
390,1363,100,571
381,1412,84,572
351,1384,116,573
353,1402,115,574
325,1421,119,575
356,1405,101,576
312,1459,99,577
319,1479,106,578
332,1434,101,579
326,1403,103,580
327,1457,78,581
334,1447,93,582
332,1428,98,583
316,1476,84,584
352,1418,85,585
314,1467,92,586
344,1457,73,587
330,1410,80,588
325,1445,85,589
320,1408,80,590
314,1476,77,591
327,1414,101,592
304,1482,92,593
285,1530,81,594
308,1491,96,595
297,1510,83,596
293,1530,81,597
292,1550,88,598
244,1561,85,599
264,1520,83,600
266,1524,70,601
279,1497,93,602
267,1504,71,603
253,1523,87,604
259,1509,72,605
262,1559,68,606
295,1475,74,607
229,1545,71,608
262,1529,84,609
237,1575,55,610
266,1560,68,611
243,1575,58,612
227,1614,61,613
219,1594,62,614
249,1528,64,615
233,1539,75,616
240,1574,59,617
228,1545,61,618
217,1556,56,619
249,1567,62,620
222,1572,62,621
213,1609,49,622
241,1572,67,623
226,1599,56,624
204,1637,61,625
278,1327,69,626
398,848,104,627
470,498,133,628
512,240,148,629
575,93,168,630
566,79,155,631
551,71,183,632
632,79,182,633
596,63,194,634
585,89,194,635
661,67,183,636
614,108,186,637
617,81,196,638
668,73,206,639
652,75,195,640
664,102,199,641
676,97,213,642
