Species1,Species2,Species3,Time
266,1031,443,396
242,990,442,397
267,1005,427,398
264,977,479,399
256,1028,442,400
244,1013,443,401
251,1060,429,402
250,1012,476,403
246,1053,440,404
243,975,492,405
268,1050,428,406
270,1014,455,407
228,994,491,408
246,998,483,409
271,1044,408,410
243,1002,451,411
238,1056,425,412
238,1006,416,413
251,1035,427,414
229,1066,443,415
259,1047,437,416
246,1035,427,417
234,1032,463,418
274,1052,446,419
267,1048,428,420
263,1086,420,421
247,1051,423,422
263,1068,424,423
259,1036,452,424
239,1057,463,425
249,1015,415,426
240,1083,400,427
215,1081,428,428
240,1076,416,429
244,1056,396,430
239,1081,429,431
254,1085,433,432
241,1042,404,433
252,1048,432,434
232,1091,380,435
256,1030,440,436
248,1070,421,437
255,1043,426,438
238,1093,414,439
250,1096,412,440
268,1080,413,441
262,1071,378,442
232,1085,397,443
262,1083,404,444
268,1032,373,445
239,1068,420,446
227,1082,382,447
225,1084,400,448
256,1090,389,449
247,1074,379,450
262,1090,405,451
231,1094,392,452
232,1114,387,453
240,1117,377,454
257,1057,416,455
226,1076,435,456
213,1109,410,457
233,1135,405,458
219,1145,388,459
219,1090,381,460
230,1089,402,461
237,1089,407,462
241,1081,378,463
231,1088,391,464
251,1059,412,465
233,1085,407,466
227,1109,411,467
231,1131,407,468
223,1141,396,469
233,1129,384,470
250,1063,380,471
229,1101,385,472
232,1080,415,473
255,1130,364,474
255,1092,394,475
243,1084,352,476
227,1096,387,477
226,1062,384,478
252,1085,398,479
244,1111,362,480
191,1131,382,481
250,1096,395,482
238,1090,401,483
246,1111,367,484
234,1115,378,485
273,1039,374,486
241,1072,398,487
260,1105,391,488
228,1065,398,489
249,1143,341,490
240,1102,345,491
265,1173,345,492
238,1128,360,493
257,1096,371,494
241,1146,355,495
256,1098,363,496
248,1124,362,497
253,1080,411,498
230,1121,347,499
238,1121,349,500
221,1134,365,501
248,1108,377,502
236,1101,385,503
236,1157,344,504
226,1082,397,505
220,1094,340,506
238,1136,357,507
264,1114,313,508
208,1164,365,509
264,1164,326,510
252,1111,390,511
255,1140,333,512
239,1154,329,513
231,1154,353,514
253,1129,350,515
217,1136,351,516
232,1144,365,517
216,1126,372,518
223,1144,319,519
228,1115,337,520
253,1125,299,521
216,1185,311,522
247,1192,314,523
276,1150,343,524
232,1224,299,525
219,1167,336,526
232,1171,320,527
256,1170,296,528
250,1178,323,529
228,1133,326,530
224,1186,294,531
223,1152,346,532
225,1149,317,533
219,1135,339,534
250,1160,341,535
242,1182,312,536
217,1144,340,537
219,1189,308,538
258,1138,315,539
216,1207,335,540
241,1196,338,541
230,1162,307,542
247,1174,359,543
236,1165,338,544
242,1212,301,545
249,1144,333,546
251,1164,357,547
223,1229,299,548
248,1173,314,549
229,1143,339,550
230,1151,355,551
237,1233,276,552
237,1186,309,553
257,1173,293,554
257,1179,311,555
242,1170,318,556
211,1197,331,557
229,1172,320,558
239,1204,288,559
262,1203,318,560
242,1176,306,561
233,1188,298,562
235,1172,315,563
231,1191,322,564
216,1216,322,565
231,1226,298,566
228,1202,308,567
232,1253,264,568
211,1231,271,569
242,1168,317,570
231,1235,277,571
250,1178,290,572
251,1174,293,573
215,1201,295,574
248,1219,284,575
219,1202,276,576
231,1236,275,577
184,1268,268,578
252,1223,279,579
219,1206,286,580
199,1231,300,581
207,1247,286,582
224,1279,299,583
222,1226,312,584
222,1262,290,585
198,1259,286,586
229,1224,309,587
205,1266,274,588
184,1259,273,589
191,1246,288,590
204,1202,354,591
210,1250,276,592
232,1265,299,593
200,1280,269,594
206,1242,286,595
203,1261,317,596
208,1246,301,597
185,1290,295,598
195,1270,267,599
216,1321,302,600
224,1281,284,601
205,1258,305,602
179,1293,306,603
200,1310,276,604
229,1249,276,605
229,1228,297,606
199,1229,296,607
194,1282,269,608
166,1289,306,609
202,1276,278,610
