Species1,Species2,Species3,Species1_b,Species2_b,Species3_b,Species1_Density,Species2_Density,Species3_Density,Time
350,617,549,0,0,0,[],[],[],157
342,630,518,0,0,0,[],[],[],158
329,613,526,0,0,0,[],[],[],159
293,658,516,0,0,0,[],[],[],160
324,671,555,0,0,0,[],[],[],161
320,628,559,0,0,0,[],[],[],162
327,662,543,0,0,0,[],[],[],163
331,671,539,0,0,0,[],[],[],164
347,647,513,0,0,0,[],[],[],165
312,645,493,0,0,0,[],[],[],166
337,680,514,0,0,0,[],[],[],167
345,682,501,0,0,0,[],[],[],168
339,691,517,0,0,0,[],[],[],169
331,663,514,0,0,0,[],[],[],170
333,661,534,0,0,0,[],[],[],171
345,665,505,0,0,0,[],[],[],172
328,691,520,0,0,0,[],[],[],173
322,679,517,0,0,0,[],[],[],174
322,676,486,0,0,0,[],[],[],175
336,681,539,0,0,0,[],[],[],176
327,705,525,0,0,0,[],[],[],177
323,738,495,0,0,0,[],[],[],178
347,647,534,0,0,0,[],[],[],179
314,700,518,0,0,0,[],[],[],180
314,651,561,0,0,0,[],[],[],181
326,719,506,0,0,0,[],[],[],182
316,729,503,0,0,0,[],[],[],183
331,689,514,0,0,0,[],[],[],184
337,706,471,0,0,0,[],[],[],185
320,691,518,0,0,0,[],[],[],186
349,734,517,0,0,0,[],[],[],187
334,688,529,0,0,0,[],[],[],188
335,698,525,0,0,0,[],[],[],189
320,760,479,0,0,0,[],[],[],190
323,685,542,0,0,0,[],[],[],191
308,749,520,0,0,0,[],[],[],192
313,708,493,0,0,0,[],[],[],193
353,725,488,0,0,0,[],[],[],194
368,705,509,0,0,0,[],[],[],195
322,684,516,0,0,0,[],[],[],196
348,668,520,0,0,0,[],[],[],197
359,724,485,0,0,0,[],[],[],198
373,667,511,0,0,0,[],[],[],199
362,688,479,0,0,0,[],[],[],200
309,654,558,0,0,0,[],[],[],201
334,749,501,0,0,0,[],[],[],202
342,723,502,0,0,0,[],[],[],203
347,686,540,0,0,0,[],[],[],204
342,734,506,0,0,0,[],[],[],205
330,731,495,0,0,0,[],[],[],206
337,734,501,0,0,0,[],[],[],207
332,706,543,0,0,0,[],[],[],208
327,739,519,0,0,0,[],[],[],209
316,733,525,0,0,0,[],[],[],210
328,737,525,0,0,0,[],[],[],211
307,713,574,0,0,0,[],[],[],212
330,716,566,0,0,0,[],[],[],213
353,743,505,0,0,0,[],[],[],214
332,720,519,0,0,0,[],[],[],215
351,703,515,0,0,0,[],[],[],216
333,739,523,0,0,0,[],[],[],217
291,752,512,0,0,0,[],[],[],218
341,729,485,0,0,0,[],[],[],219
308,768,494,0,0,0,[],[],[],220
329,768,515,0,0,0,[],[],[],221
323,773,542,0,0,0,[],[],[],222
309,744,530,0,0,0,[],[],[],223
317,729,547,0,0,0,[],[],[],224
314,756,521,0,0,0,[],[],[],225
334,800,516,0,0,0,[],[],[],226
333,766,512,0,0,0,[],[],[],227
332,768,473,0,0,0,[],[],[],228
328,760,495,0,0,0,[],[],[],229
317,797,525,0,0,0,[],[],[],230
328,763,509,0,0,0,[],[],[],231
